stop_code,stop_id,stop_lat,stop_lon,stop_name,zone_id
DC3918,13678,28.639867,77.2437,Delhi Gate / Ambedkar Stadium Terminal,13678
CWG77,13679,28.636683,77.247283,Gandhi Darshan,13679
DC4232,13680,28.666833,77.31515,Vivekanand Mahila College,13680
DC5572,13681,28.6698823,77.0868554,GH-14 Paschim Vihar,13681
DC5571,13682,28.6681594,77.0794929,Sai Ram Mandir / Angad Park,13682
DC5570,13683,28.6620112,77.0818376,Sayed Gaon Nangloi (T),13683
DC3536,13684,28.621961,77.05731,Prem Nagar,13684
DC3537,13685,28.621,77.052203,Om Vihar,13685
DC3544,13686,28.612458,76.99146,Tuda Mandi,13686
DC5489,13687,28.51757,77.18922,Delhi Jal Board (MG Road),13687
DC5595,13688,28.5538254,77.1314071,Mahipal Pur Extension,13688
DC5795,13689,28.79924,77.04466,Bawana Depot Sec 1 Crossing,13689
DC5793,13690,28.78355,77.06498,Rajeev Ratan Aawas Yojna,13690
DC5801,13691,28.78507739983594,77.07230902063499,Yamuna Link Road 36/37 Crossing,13691
DC5783,13692,28.780622532627834,77.07818023497461,Rohini Sector 34 C2 C3,13692
DC5782,13693,28.77837694310933,77.0811367947941,Rohini Sector 34 Pkt 1,13693
DC5781,13694,28.772427868550785,77.09104471306878,Khera Khurd Check Post,13694
DC5779,13695,28.76737,77.10081,Rohini Sector 27/28 Crossing,13695
DC5778,13696,28.756964407496906,77.09459008814652,NIDM Camps Sec 29,13696
DC5785,13697,28.74914,77.08954,Mahadev Chowk Rohini Sec 27 / 30 Crossing,13697
DC5634,13698,28.7062153,77.0709036,District Park Sector 20,13698
DC5637,13699,28.696577,77.095894,D Block Mangol Puri (T),13699
DC5797,13700,28.80887,77.05374,Bawana JJ Colony,13700
U02578,13701,28.618044,77.2189,Windsor Place,13701
DC5633,13702,28.7059194,77.0709659,District Park Sector 20,13702
DC5625,13703,28.549694,77.117843,Aero City Metro Station,13703
DC5623,13704,28.562762,77.126527,Police Colony Mehram Nagar,13704
DC4357,13705,28.688285,77.112368,Aayudh Bhandar,13705
DC4356,13706,28.687467,77.118117,Bhagwan Mahavir Hospital,13706
DC4354,13707,28.68715,77.12005,Keshav Mahavidhyalaya,13707
DC4205,13708,28.657829,77.245162,Geeta Colony Pul / Vijay Ghat,13708
U03388,13709,28.619117,77.286333,Mother Dairy,13709
U00801,13710,28.5313,77.08815,Kapashera Crossing,13710
U00280,13711,28.685444,76.995021,Ghevra Crossing Rohtak Road,13711
U99784,13712,28.694867,77.15485,Wazirpur Depot / Subhash Place Depot,13712
NS0247,13713,28.6126,77.2122,Udyog Bhawan,13713
DC5091,13714,28.664334,77.053483,Nilothi Crossing,13714
DC5083,13715,28.662227,77.056482,Chander Vihar (Nilothi),13715
DC5085,13716,28.65843,77.05652,Shri Ram Colony (Nilothi),13716
DC5087,13717,28.65648,77.0565,Jal Board Office (Nilothi),13717
DC5089,13718,28.65333,77.05639,Nilothi Village,13718
DC5533,13719,28.493217,77.184617,Chhatarpur Ext / Nanda Hospital,13719
DC5534,13720,28.494867,77.18435,Rajpur Crossing,13720
DC5536,13721,28.5003529,77.1837249,Chhatarpur Village,13721
DC5538,13722,28.5011934,77.182865,Chhatarpur Mandir,13722
DC5540,13723,28.5040746,77.1758213,Chhatarpur More,13723
DC4742,13724,28.580701,76.937424,Khera Dabar Village,13724
DC4744,13725,28.5721,76.934883,Ch Brahm Parkash Ayurvedic Hospital,13725
DC3710,13726,28.682085,77.058786,Nangloi JJ Colony Lokesh Cinema,13726
U03301,13727,28.6888,77.2779,Mogpur Crossing,13727
DC5624,13728,28.562265,77.126634,Police Colony Mehram Nagar,13728
DC5591,13729,28.5485644228084,77.1190470676406,AeroCity Metro Station,13729
DC4743,13730,28.5721,76.934817,Ch Brahm Parkash Ayurvedic Hospital,13730
DC4739,13731,28.584136,76.934582,Khera Dabar Village,13731
U03138,13732,28.599043,77.257822,Nizamuddin Road Bridge,13732
DC5527,13733,28.651339,77.24792,Shanti Van Crossing,13733
DC5525,13734,28.651549,77.256643,Geeta Colony Road Crossing,13734
DC5523,13735,28.64838,77.26875,Geeta Colony,13735
DC5531,13736,28.644408,77.269269,SDM Office,13736
DC5524,13737,28.65166,77.26663,Geeta Colony,13737
DC5515,13738,28.666781,77.252952,Shastri Park Metro Station,13738
DC5518,13739,28.667542,77.255732,Bulland Masjid Shastri Park,13739
DC5512,13740,28.66945,77.262764,Dharam Pura,13740
U00652,13741,28.594483,77.073583,Dwarka Sec 1,13741
U02293,13742,28.617308,77.203983,Kendriya Terminal (Church Road),13742
U01179,13743,28.656139,77.126058,Rajdhani College Raja Garden,13743
U01622,13744,28.7083,77.1621,Shalimar Bagh BR-Block,13744
U99865,13745,28.515949,77.225686,Ambedkar Nagar Terminal,13745
U02910,13746,28.627817,77.240083,ITO (DDU Marg),13746
U02095,13747,28.538,77.1927,NCERT,13747
U02053,13748,28.539,77.1898,Qutab Hotel,13748
U01979,13749,28.5405,77.1851,Katwaria Sarai,13749
U01922,13750,28.542,77.1825,Sanskrit Vidyapeeth,13750
U01881,13751,28.5436,77.1798,FAI,13751
U01891,13752,28.5496,77.1805,Ber Sarai,13752
DC5614,13753,28.522326,77.195969,Lado Sarai(Firni Road),13753
DC5800,13754,28.74941937152305,77.08896498186903,Mahadev Chowk Rohini Sec 27 / 30 Crossing,13754
DC5786,13755,28.75724,77.09392,NIDM Camps Sec 29,13755
DC5787,13756,28.76712,77.1004,Rohini Sec 27/28 Crossing,13756
DC5788,13757,28.76959,77.09563,LIG / HIG Houses Sector 29,13757
DC5789,13758,28.77189,77.09088,Khera Khurd Check Post,13758
DC5790,13759,28.77796,77.08071,Rohini Sector 34 Pkt 1,13759
DC5791,13760,28.78025,77.07783,Rohini Sector 34 C2 C3,13760
DC5784,13761,28.784515813113,77.07242773751203,Yamuna Link Road 36/37 Crossing,13761
DC5792,13762,28.78325,77.06483,Rajeev Ratan Aawas Yojna,13762
DC5794,13763,28.79981,77.04399,Bawana Depot Sec 1 Crossing,13763
DC5796,13764,28.80911,77.05381,Bawana JJ Colony,13764
DC5580,13765,28.64365,77.137517,Wood Market / Mansarover Garden,13765
DC5581,13766,28.645983,77.13985,Saraswati Garden,13766
DC5578,13767,28.645783,77.139967,Saraswati Garden,13767
DC5579,13768,28.642867,77.137117,Wood Market / Mansarover Garden,13768
U01737,13769,28.682083,77.170117,Wazirpur JJ Colony,13769
U01989,13770,28.6803,77.1856,Shri Nagar Colony,13770
U02015,13771,28.6784,77.188,Chowki No. 2,13771
U00345,13772,28.6839,77.0094,Oil Factory,13772
DC5511,13773,28.669934,77.264346,Dharam Pura,13773
DC5513,13774,28.667312,77.255615,Bulland Masjid Shastri Park,13774
DC5514,13775,28.66632,77.253791,Shastri Park Metro Station,13775
DC5526,13776,28.651222,77.256424,Geeta Colony Road Crossing,13776
DC5528,13777,28.651047,77.247733,Shanti Van Crossing,13777
DC5530,13778,28.650177,77.240168,Kotwali Darya Ganj / ShantiVan,13778
U99683,13779,28.6036,77.2691,PWD Office,13779
DC5613,13780,28.522577,77.196788,Lado Sarai Firni Road,13780
DC5672,13781,28.694915,77.119583,Sharda Niketan / Bank Vihar,13781
DC5670,13782,28.688255,77.105877,Transport Department,13782
U00664,13783,28.60635,77.07503299999998,Vijay Enclave,13783
DC4204,13784,28.63814153914058,77.25269596779573,Delhi Sachivalaya (Rajghat Power House),13784
U03324BP,13785,28.6905,77.2788,Babarpur Extn,13785
CWG620A,13786,28.615467,77.24035,ITPO Gate No. 3,13786
NS0153,13787,28.6627,77.2583,Kailash Nagar Pusta,13787
DC4351,13788,28.684133,77.12625,Rani Bagh,13788
DC4350,13789,28.68395,77.12885,Rani Bagh Railway Colony,13789
DC4348,13790,28.6835,77.133917,Shakur Basti,13790
DC5090,13791,28.65336,77.05632,Nilothi Village,13791
DC5088,13792,28.65668,77.05638,Jal Board Office (Nilothi),13792
DC5086,13793,28.65852,77.05641,Shri Ram Colony (Nilothi),13793
